date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:47:23	67/67	---MC-	200	added ('OK')	text/plain	date:Tue,%2023%20Jun%202020%2006:47:26%20GMT	https://digitalplant-my.com/robots.txt		(from )
04:47:23	148784/148784	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Jun%202020%2006:47:27%20GMT	https://digitalplant-my.com/en/?gclid=CjwKCAjwrcH3BRApEiwAxjdPTReChsoOqmvOZYhZRHg5q4WlwfQuF4Kkrrj2cnnL-bufzYUW5LTNYRoCLagQAvD_BwE	C:/My%20Web%20Sites/digitalplant-my.com/digitalplant-my.com/en/index7d79.html	(from )
04:47:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jun%202020%2006:47:29%20GMT	https://digitalplant-my.com/en/favicon-144.png	C:/My%20Web%20Sites/digitalplant-my.com/digitalplant-my.com/en/favicon-144.0.delayed	(from https://digitalplant-my.com/en/?gclid=CjwKCAjwrcH3BRApEiwAxjdPTReChsoOqmvOZYhZRHg5q4WlwfQuF4Kkrrj2cnnL-bufzYUW5LTNYRoCLagQAvD_BwE)
04:47:25	148686/148686	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Jun%202020%2006:47:29%20GMT	https://digitalplant-my.com/en/	C:/My%20Web%20Sites/digitalplant-my.com/digitalplant-my.com/en/index.html	(from https://digitalplant-my.com/en/?gclid=CjwKCAjwrcH3BRApEiwAxjdPTReChsoOqmvOZYhZRHg5q4WlwfQuF4Kkrrj2cnnL-bufzYUW5LTNYRoCLagQAvD_BwE)
04:47:25	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2023%20Jun%202020%2006:47:29%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/digitalplant-my.com/www.googletagmanager.com/gtm.15445.delayed	(from https://digitalplant-my.com/en/?gclid=CjwKCAjwrcH3BRApEiwAxjdPTReChsoOqmvOZYhZRHg5q4WlwfQuF4Kkrrj2cnnL-bufzYUW5LTNYRoCLagQAvD_BwE)
04:47:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://digitalplant-my.com/wp-content/plugins/contact-form-7/images/ajax-loader.gif	C:/My%20Web%20Sites/digitalplant-my.com/digitalplant-my.com/wp-content/plugins/contact-form-7/images/ajax-loader.2.delayed	(from https://digitalplant-my.com/en/?gclid=CjwKCAjwrcH3BRApEiwAxjdPTReChsoOqmvOZYhZRHg5q4WlwfQuF4Kkrrj2cnnL-bufzYUW5LTNYRoCLagQAvD_BwE)
04:47:28	847/847	---M--	200	added ('OK')	image/gif	etag:%2234f-5a63d0a4183c7%22	https://digitalplant-my.com/wp-content/plugins/contact-form-7/images/ajax-loader.gif	C:/My%20Web%20Sites/digitalplant-my.com/digitalplant-my.com/wp-content/plugins/contact-form-7/images/ajax-loader.gif	(from https://digitalplant-my.com/en/?gclid=CjwKCAjwrcH3BRApEiwAxjdPTReChsoOqmvOZYhZRHg5q4WlwfQuF4Kkrrj2cnnL-bufzYUW5LTNYRoCLagQAvD_BwE)
04:47:28	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://digitalplant-my.com/wp-content/themes/digitalplant/dist/css/owl.video.play.png	C:/My%20Web%20Sites/digitalplant-my.com/digitalplant-my.com/wp-content/themes/digitalplant/dist/css/owl.video.play.4.delayed	(from https://digitalplant-my.com/en/?gclid=CjwKCAjwrcH3BRApEiwAxjdPTReChsoOqmvOZYhZRHg5q4WlwfQuF4Kkrrj2cnnL-bufzYUW5LTNYRoCLagQAvD_BwE)
04:47:29	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jun%202020%2006:47:33%20GMT	https://digitalplant-my.com/wp-content/themes/digitalplant/dist/css/owl.video.play.png	C:/My%20Web%20Sites/digitalplant-my.com/digitalplant-my.com/wp-content/themes/digitalplant/dist/css/owl.video.play.5.delayed	(from https://digitalplant-my.com/en/?gclid=CjwKCAjwrcH3BRApEiwAxjdPTReChsoOqmvOZYhZRHg5q4WlwfQuF4Kkrrj2cnnL-bufzYUW5LTNYRoCLagQAvD_BwE)
04:47:31	1789/1789	---M--	200	added ('OK')	image/png	etag:%226fd-5a63d0adcc8dd%22	https://digitalplant-my.com/wp-content/uploads/2020/04/cropped-favicon-32x32.png	C:/My%20Web%20Sites/digitalplant-my.com/digitalplant-my.com/wp-content/uploads/2020/04/cropped-favicon-32x32.png	(from https://digitalplant-my.com/en/?gclid=CjwKCAjwrcH3BRApEiwAxjdPTReChsoOqmvOZYhZRHg5q4WlwfQuF4Kkrrj2cnnL-bufzYUW5LTNYRoCLagQAvD_BwE)
04:47:32	17896/17896	---M--	200	added ('OK')	image/png	etag:%2245e8-5a63d0adc5b7e%22	https://digitalplant-my.com/wp-content/uploads/2020/04/cropped-favicon-192x192.png	C:/My%20Web%20Sites/digitalplant-my.com/digitalplant-my.com/wp-content/uploads/2020/04/cropped-favicon-192x192.png	(from https://digitalplant-my.com/en/?gclid=CjwKCAjwrcH3BRApEiwAxjdPTReChsoOqmvOZYhZRHg5q4WlwfQuF4Kkrrj2cnnL-bufzYUW5LTNYRoCLagQAvD_BwE)
04:47:34	17229/17229	---M--	200	added ('OK')	image/png	etag:%22434d-5a63d0adc2c9e%22	https://digitalplant-my.com/wp-content/uploads/2020/04/cropped-favicon-180x180.png	C:/My%20Web%20Sites/digitalplant-my.com/digitalplant-my.com/wp-content/uploads/2020/04/cropped-favicon-180x180.png	(from https://digitalplant-my.com/en/?gclid=CjwKCAjwrcH3BRApEiwAxjdPTReChsoOqmvOZYhZRHg5q4WlwfQuF4Kkrrj2cnnL-bufzYUW5LTNYRoCLagQAvD_BwE)
04:47:36	145630/145630	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Jun%202020%2006:47:39%20GMT	https://digitalplant-my.com/en/expert/digital-campaigns/	C:/My%20Web%20Sites/digitalplant-my.com/digitalplant-my.com/en/expert/digital-campaigns/index.html	(from https://digitalplant-my.com/en/?gclid=CjwKCAjwrcH3BRApEiwAxjdPTReChsoOqmvOZYhZRHg5q4WlwfQuF4Kkrrj2cnnL-bufzYUW5LTNYRoCLagQAvD_BwE)
